Year,Order Number,Date,Total Price,Product
2023,407-2180360-5313954,24-Oct-23,₹ 399.00,"LTYNE Set of 3 Pillar Candles (Size: 2X2, 2X4, 2X6 Inch) Without Jar for Home Décor, Spa, Diwali, Christmas, Wedding, Party or Any Occasion (Green)"
2023,407-5697260-4718748,09-Oct-23,₹ 449.00,Whisper Ultra Clean Sanitary Pads for Women|50 thin Pads|XL+|Hygiene & Comfort|Soft Wings|Dry top sheet|Suitable for Heavy flow|Odour free|31.7 cm Long|With disposable wrap
2023,407-7935992-7540340,09-Sep-23,₹ 828.38,"3M Rodent Repellent Coating, Rat Repellent Spray, Prevents Rat Bites in Engine Parts and Wires, Highly Effective, Leak-Free, Easy-to-Spray, Bitter Taste, No Kill-only Repels (250g, Pack of 1)"
2023,407-5326500-1997968,09-Sep-23,₹ 319.00,Car Rat Protection Powder Car Sheild Rat Repellent Powder for Car (10 Gram) Pack of 5
2023,407-7182179-7561934,07-Sep-23,₹ 207.20,"Black Apple Flea Comb Pet Cat Dog Lice Comb Nit Remover Grooming Brush Tools to Treatment & Remove Fleas, Mites, Ticks, Dandruff Flakes - Stainless Steel Fine Teeth- Color May Vary"
2023,407-1104581-2843541,22-Aug-23,₹ 330.00,Girnar Food & Beverages Pvt. Ltd. Detox Green Tea - Desi Kahwa (36 Tea Bags) 90 gm
2023,407-2547974-3415559,22-Aug-23,₹ 499.00,IFB Descaling Drum Cleaning powder (pack of 10)
2023,171-4251951-1333968,27-Jun-23,₹ 375.00,"Ryme FengShui Convex/Pakwa Mirror/Safety Mirror for Removal of Outside Negative Energy 9 inches, Glass, Multicolour"
2023,407-3345406-5029963,18-Jun-23,₹ 229.00,"Lizol Disinfectant Surface & Floor Cleaner Liquid, Citrus - 625 ml (Pack of 2) | Suitable for All Floor Cleaner Mops | Kills 99.9% Germs| India's #1 Floor Cleaner"
2023,407-2139791-0034752,18-Jun-23,₹ 583.00,Dettol Liquid Handwash Refill - Original Hand Wash- 1500ml | Germ Defence Formula | 10x Better Germ Protection
2023,406-6901574-2838703,26-May-23,₹ 280.00,"LOXXO® Case for Redmi Note 8 Pro, Case Cover with Liquid Silicone, Comfortable Grip, Screen & Camera Protection, Velvety-Soft Lining, Shock-Absorbing for Redmi Note 8 Pro, Black"
2023,407-6204268-9356317,22-May-23,₹ 330.00,Girnar Food & Beverages Pvt. Ltd. Detox Green Tea - Desi Kahwa (36 Tea Bags) 90 gm
2023,407-1505013-5463532,22-May-23,₹ 799.00,NYALKARAN Shoe Organizer Stand Space Saver Shoe Storage Rack Double Layer Free Standing Shoe Slipper Stacker Shelf (Pack of 6) (Multicolor)
2023,407-3077205-9848325,16-May-23,"₹ 1,499.00",Amazon Prime (Yearly Membership)
2023,406-0107840-8405131,02-May-23,"₹ 2,426.85",Alan Truman Compact Blow Brush Black |1100 Watts| Dryer In The Form Of A Brush| A 6 in 1 Multistyler| Two Layered Bristles| 3 Tempeature & Speed Settings
2023,D01-1558157-1304658,Unknown Date,N/A,No Product Found
2023,407-6039613-9027564,30-Apr-23,₹ 395.00,"Thinking, Fast and Slow (Penguin Press Non-Fiction) [Paperback] Daniel Kahneman"
2023,407-2635320-5521920,18-Apr-23,₹ 799.00,"Destinio Umbrella for Women | Umbrella for Men | UV Coated 3 Fold Umberallas for Rain with Auto Open and Close (Teal Blue, 21 inch)"
2023,407-7334025-2909167,17-Apr-23,₹ 375.00,Tupperware Aqua-Slim Flip-top Water Bottle - 750Ml (Blue)
2023,407-3064605-2203565,14-Apr-23,₹ 375.00,Tupperware Aqua-Slim Flip-top Water Bottle - 750Ml (Blue)
2023,407-0520257-6082717,14-Apr-23,₹ 432.00,tupperware bottle cleaning brush (green)
2023,171-5803181-6102713,10-Apr-23,₹ 299.00,Pikkme Mi Redmi Note 5 Pro Flip Cover | PU Leather Finish | Carbon Pattern Magnetic Pouch | Wallet Style | Inbuilt Pockets & Stand | Flip Case (Black)
2023,407-6734698-0312313,06-Apr-23,"₹ 1,160.00",Girnar Green Tea Ginger (36 Tea Bags)
2023,407-9490881-2141941,03-Apr-23,₹ 400.00,"Bark Out Loud, Vivaldis – Natural Spot On | Preventive Treatment for Fleas & Ticks | Enriched with 11 Essential Oils | Gentle on Skin, ensures Healthy Coat Dogs & Cat 1.5/3 /5 ml (3ml 10-30kg)"
